animeTitle	Soujuu Senshi Psychic Wars
animeType	OVA
animeNumEpisode	1
releaseDate	1991-02-22 00:00:00
endDate	
animeNumMembers	3695
animeScore	3.12
animeUsers	1861
animeRank	11997
animePopularity	7846
animeDescription	"Ukyo Rettsu, a surgeon, treats a mysterous old woman for a mysterious ""cancer."" The growth turns out to be a messenger from the ancient past of Japan heralding a demonic invasion of the Earth. Ukyo must go back in time and fight the race of ancient demons. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Fuyuko, Asahina', 'Retsu, Ukyo', 'Prof. Takase']
animeVoices	['Tsuru, Hiromi', 'Tanaka, Hideyuki']
animeStaff	[['Imazawa, Tetsuo', 'Director'], ['Wolskel, John', 'Script'], ['Hayama, Junichi', 'Key Animation'], ['Suda, Masami', 'Animation Director, Key Animation, Character Design']]
