animeTitle	b'Maken-Ki! Specials'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.18
animeUsers	12196
animeRank	
animePopularity	
animeDescription	"b'Each of the six volumes of the Maken-Ki! Blu-rays will carry a 10 minute long short anime ""Doki Doki! Maken-ki! Himitsu no Kunren"". Secret trainings with the main characters will be animated.'"
animeRelated	[b'Maken-Ki!']
animeCharacters	[b'Nijou, Aki', b'Himegami, Kodama', b'Amaya, Haruko', b'Kushiya, Inaho', b'Shinatsu, Azuki', b'Ootsuka, Celia']
animeVoices	[b'\nHarada, Hitomi\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n', b'\nShitaya, Noriko\nJapanese\n', b'\nNomizu, Iori\nJapanese\n', b'\nTogashi, Misuzu\nJapanese\n', b'\nIse, Mariya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHasegawa, Yasuo\n\nProducer\n\n', b'\nTakeda, Hiromitsu\n\nOriginal Creator\n\n']
