animeTitle	Nobunaga no Shinobi
animeType	TV
animeNumEpisode	26
releaseDate	2016-10-04 00:00:00
endDate	2017-03-28 00:00:00
animeNumMembers	
animeScore	7.06
animeUsers	7897
animeRank	
animePopularity	3984
animeDescription	"Rescued from nearly drowning in a river, a young Chidori yearns to pay back her savior's kindness. Though her cute and innocent appearance might not show it, she is actually a highly skilled ninja, so years later, Chidori and her friend Sukezou come to serve under the man who saved her—the ambitious warlord, Nobunaga Oda.

As Nobunaga fights off invading forces and sets his sights upon neighboring lands, Chidori is assigned vital tasks to assure victory, such as gathering information or assassinating key figures. Between taking on these important missions and dealing with the colorful cast of Nobunaga's family and servants, the young ninja is always ready to do her best to lead her master toward greatness.

[Written by MAL Rewrite]"
animeRelated	['Nobunaga no Shinobi', 'Nobunaga no Shinobi: Nobunaga to Minarai Shinobi', 'Nobunaga no Shinobi: Ise Kanegasaki-hen']
animeCharacters	['Chidori', 'Oda, Nobunaga', 'Takenaka, Hanbee', 'Kichou', 'Nene', 'Kinoshita, Hideyoshi', 'Sukezou', 'Endou, Naotsune', 'Azai, Hisamasa', 'Azai, Nagamasa']
animeVoices	['Minase, Inori', 'Hatano, Wataru', 'Hirakawa, Daisuke', 'Takahashi, Chiaki', 'Kugimiya, Rie', 'Yamaguchi, Kappei', 'Murase, Ayumu', 'Yanada, Kiyoyuki', 'Matsuyama, Takashi', 'Takumi, Yasuaki']
animeStaff	[['Daichi, Akitarou', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Valshe', 'Theme Song Performance'], ['Renka', 'Theme Song Lyrics, Theme Song Performance']]
