animeTitle	Crayon no Hoshi
animeType	OVA
animeNumEpisode	1
releaseDate	1991-01-01 00:00:00
endDate	
animeNumMembers	137
animeScore	
animeUsers	
animeRank	15317
animePopularity	17200
animeDescription	An educational film about a teamwork. A group of crayons get a message that they can meet with the a king star if they have great values. Bickering ensues and they have to work together to prove their worth to meet the king.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
