animeTitle	Hidamari Sketch x ☆☆☆ Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.82
animeUsers	6659
animeRank	
animePopularity	4718
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Hidamari Sketch', 'Hidamari Sketch x ☆☆☆', 'Hidamari Sketch x SP']
animeCharacters	['Miyako', 'Yuno', 'Sae', 'Hiro', 'Nori', 'Nazuna', 'Yoshinoya', 'Natsume', 'The Principal', 'Ume']
animeVoices	['Mizuhashi, Kaori', 'Asumi, Kana', 'Shintani, Ryouko', 'Gotou, Yuuko', 'Harada, Hitomi', 'Omigawa, Chiaki', 'Matsuki, Miyu', 'Fukuen, Misato', 'Cho', 'Aoki, Ume']
animeStaff	[['Iwakami, Atsuhiro', 'Producer'], ['Ooshima, Miku', 'Assistant Producer'], ['Shinbou, Akiyuki', 'Director'], ['Ishikura, Kenichi', 'Director']]
