animeTitle	Miss Monochrome The Animation 2
animeType	TV
animeNumEpisode	13
releaseDate	2015-07-03 00:00:00
endDate	2015-09-25 00:00:00
animeNumMembers	
animeScore	6.5
animeUsers	8583
animeRank	
animePopularity	4126
animeDescription	"The Ultra Super Pictures Special Stage event announced at AnimeJapan 2015 on Saturday that the Miss Monochrome television anime series will receive a second season. The season will run within the 30-minute Ultra Super Anime Time block beginning on July 3, 2015.

(Source: ANN)"
animeRelated	['Miss Monochrome The Animation', 'Miss Monochrome The Animation 3']
animeCharacters	['Miss Monochrome', 'Ruu-chan', 'Maneo', 'Mana', 'Denchi-kun', 'Kikuko', 'Akiko', 'Konno, Yayoi']
animeVoices	['Horie, Yui', 'Kamiya, Hiroshi', 'Fujiwara, Keiji', 'Kanda, Akemi', 'Nakamura, Yuuichi', 'Inoue, Kikuko', 'Suwa, Ayaka', 'Asumi, Kana']
animeStaff	[['Shiba, Hirokazu', 'Producer'], ['Iwasaki, Yoshiaki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Takuno, Seiki', 'Episode Director']]
