animeTitle	Japanda
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.11
animeUsers	176
animeRank	
animePopularity	13970
animeDescription	"TAKARA TOMY A.R.T.S announced on September 3 that it is developing merchandise and media around a new character named ""Japanda"" with an animated short. Ryou Taniguchi (designer for Tokyo 2020 Olympic and Paralympic Games' official mascots) designed the character.

The target audience for the character is women in their late teens and 20s. TAKARA TOMY A.R.T.S plans to release plush dolls, apparel, capsule toys, and more merchandise for the character starting in spring 2020. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
