animeTitle	Houkago 2 The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	2007-08-31 00:00:00
endDate	
animeNumMembers	
animeScore	5.82
animeUsers	1048
animeRank	
animePopularity	7944
animeDescription	"Ryuichi's first sex doesn't go well and he can't get an erection since then. He starts to work at a girl's high school as a janitor but his work attitudes are terrible, so his dismissal is decided. When he is depressed to hear that, he meets Midori. And he gets an erection while talking to her. He can't stand it and rapes her. He has only one month to go so he decides to spend his time at school raping as many girls as possible....

(Source: ErogeShop)"
animeRelated	['Houkago 2: Hakudaku no Lesson', 'Houkago: Nureta Seifuku', 'Houkago 2: Sayuri']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
