animeTitle	Tadaima! Chibi Godzilla
animeType	ONA
animeNumEpisode	12
releaseDate	2020-07-15 00:00:00
endDate	2020-09-30 00:00:00
animeNumMembers	255
animeScore	
animeUsers	
animeRank	13645
animePopularity	15331
animeDescription	"The ""Chibi Godzilla"" project was launched to celebrate the 65th anniversary of Toho's Godzilla franchise.

(Source: Crunchyroll)"
animeRelated	['Ganbare Chibi Godzilla', 'Chibi Godzilla', 'Tadaima! Chibi Godzilla Season 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
