animeTitle	Love Stage!!: Chotto ja Nakutte
animeType	OVA
animeNumEpisode	1
releaseDate	2014-11-22 00:00:00
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	29017
animeRank	
animePopularity	2384
animeDescription	"Bundled with volume four of the manga series Love Stage!! written by Eiki Eiki. 

This OVA takes place right after the final episode of Love Stage!! the anime series, which is based on the manga volumes 1-3. "
animeRelated	['Love Stage!!']
animeCharacters	['Sena, Izumi', 'Ichijou, Ryouma', 'Sagara, Rei', 'Sena, Shougo', 'Kuroi, Takahiro', 'Sena, Seiya', 'Saotome, Miyabi']
animeVoices	['Yonaga, Tsubasa', 'Eguchi, Takuya', 'Hirakawa, Daisuke', 'DAIGO', 'Kimura, Ryouhei', 'Okiayu, Ryoutarou', 'Hayashi, Yuu']
animeStaff	[['Kasai, Kenichi', 'Director'], ['Yamamoto, Kazutomi', 'Theme Song Performance'], ['SCREEN mode', 'Theme Song Performance'], ['Kodama, Saori', 'Theme Song Lyrics']]
