animeTitle	Canaan
animeType	TV
animeNumEpisode	13
releaseDate	2009-07-04 00:00:00
endDate	2009-09-26 00:00:00
animeNumMembers	200970
animeScore	7.25
animeUsers	76558
animeRank	2656
animePopularity	889
animeDescription	"Oosawa Maria is a Japanese photographer currently working in Shanghai, China. Along with her partner Mino, she searches for potential newsworthy stories throughout the city. When strange events occur at a local festival, Maria and Mino immediately investigate. Quickly, the two are immersed in a battle between unknown masked men and a strange, white-haired woman. Just when Maria is about to be caught in the crossfire, an old friend by the name of Canaan appears and helps Maria escape. But a sinister plot over a deadly virus soon develops, and Canaan learns she must confront her past if she wants any chance at stopping the perpetrator and saving her friends.

[Written by MAL Rewrite]"
animeRelated	['Canaan', 'Canaan: Minorikawa Report 201X Shanghai']
animeCharacters	['Canaan', 'Alshaya, Alphard', 'Oosawa, Maria', 'Minorikawa, Minoru', 'Qi, Liang', 'Taxi driver', 'Yunyun', 'Hakkoh', 'Santana', 'Natsume, Yuri']
animeVoices	['Sawashiro, Miyuki', 'Sakamoto, Maaya', 'Nanjou, Yoshino', 'Hamada, Kenji', 'Tanaka, Rie', 'Nakata, Jouji', 'Tomatsu, Haruka', 'Noto, Mamiko', 'Hirata, Hiroaki', 'Minagawa, Junko']
animeStaff	[['Horikawa, Kenji', 'Producer'], ['Ishii, Jirou', 'Producer'], ['Andou, Masahiro', 'Director'], ['Aketagawa, Jin', 'Sound Director']]
