animeTitle	Kyouryuu Tankentai Born Free
animeType	TV
animeNumEpisode	25
releaseDate	1976-10-01 00:00:00
endDate	1977-03-25 00:00:00
animeNumMembers	
animeScore	5.85
animeUsers	164
animeRank	
animePopularity	11763
animeDescription	"When a meteor crashes to Earth, it briefly changes the climate and dinosaurs once again roam the planet. It's up to a newly formed expedition team to relocate the dinosaurs to a safe environment.

(Source: AniDB)"
animeRelated	['Kyouryuu Daisensou Izenborg']
animeCharacters	['Kitayama, Joji', 'Maki, Reiko', 'Koyama, Saburou', 'Masaki, Masao', 'Gonda, Akira', 'Narrator', 'King Butler']
animeVoices	['Mori, Katsuji', 'Kuri, Youko', 'Kami, Kyounosuke', 'Takahashi, Kazue', 'Kanemoto, Shingo', 'Nakae, Shinji', 'Takiguchi, Junpei']
animeStaff	[['Columbia Yurikago Kai', 'Theme Song Performance'], ['Shimon, Masato', 'Theme Song Performance']]
