animeTitle	Ani ni Tsukeru Kusuri wa Nai!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.47
animeUsers	31986
animeRank	
animePopularity	1968
animeDescription	"Shi Miao simply cannot stand her lazy, stupid, and unreliable elder brother Shi Fen, who is one year above her at the same high school. Though the two siblings can only depend on each other, Shi Miao's violent tendencies combined with Shi Fen's knack for causing trouble cause them to fight constantly. And so, Shi Miao can only hope that someone might take her brother away—even though, when push comes to shove, Shi Fen always tries to do what he believes is best for his cute younger sister.

[Written by MAL Rewrite]"
animeRelated	['Please Take My Brother Away', 'Ani ni Tsukeru Kusuri wa Nai! 2']
animeCharacters	['Shi, Fen', 'Shi, Miao', 'Kai, Xin', 'Wan, Sui', 'Miaomiao', 'Butler', 'Waiter', 'Receptionist']
animeVoices	['Nakamura, Yuuichi', 'Amamiya, Sora', 'Ono, Kensho', 'Hanae, Natsuki', 'Morinaga, Chitose', 'Katou, Shingo']
animeStaff	[['Rareko', 'Director, Script'], ['Brian the Sun', 'Theme Song Performance'], ['You, Ling', 'Original Creator']]
