animeTitle	Kyoukai no Rinne (TV) 3rd Season
animeType	TV
animeNumEpisode	25
releaseDate	2017-04-08 00:00:00
endDate	2017-09-23 00:00:00
animeNumMembers	
animeScore	7.06
animeUsers	6357
animeRank	
animePopularity	3970
animeDescription	The third season of Kyoukai no Rinne.
animeRelated	['Kyoukai no Rinne', 'Kyoukai no Rinne (TV) 2nd Season']
animeCharacters	['Rokudou, Rinne', 'Mamiya, Sakura', 'Rokumon', 'Juumonji, Tsubasa', 'Rokudou, Sabato', 'Masato', 'Ageha', 'Tamako', 'Suzu', 'Raito']
animeVoices	['Ishikawa, Kaito', 'Inoue, Marina', 'Nabatame, Hitomi', 'Kimura, Ryouhei', 'Yamaguchi, Kappei', 'Kakihara, Tetsuya', 'Murakawa, Rie', 'Yukino, Satsuki', 'Mimori, Suzuko', 'Itou, Shizuka']
animeStaff	[['Ishiodori, Hiroshi', 'Director'], ['Kamishiraishi, Mone', 'Theme Song Performance'], ['KEYTALK', 'Theme Song Performance'], ['Softly', 'Theme Song Performance']]
