animeTitle	b'Nana Recaps'
animeType	b'Special'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.99
animeUsers	7968
animeRank	
animePopularity	
animeDescription	"b""Nana Episode 11.5: Junko's Room \nNana Episode 21.5: Junko's Room 2 \nNana Episode 36.5: Junko's Room 3 """
animeRelated	[b'Nana']
animeCharacters	[b'Saotome, Junko', b'Takakura, Kyosuke', b'Fujieda, Naoki', b'Endo, Shouji', b'Satou, Kouichi']
animeVoices	[b'\nHonda, Takako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYazawa, Ai\n\nOriginal Creator\n\n']
