animeTitle	Noragami Aragoto OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2015-11-17 00:00:00
endDate	2016-03-17 00:00:00
animeNumMembers	
animeScore	7.88
animeUsers	117558
animeRank	
animePopularity	801
animeDescription	"Hiyori Iki goes on a skiing trip with her parents and happens to bump into Yato and Yukine. After a short while, they find the other gods who are there for a company vacation. But amidst all the fun, someone is plotting a heinous crime, and Yato is the primary target.

On a different day, Yato’s been able to make a small fortune from his last job and decides to take Hiyori and Yukine to Capyper Land. Although she agrees without knowing the destination, will Hiyori actually enjoy the day considering what happened on her last visit?

[Written by MAL Rewrite]
"
animeRelated	['Noragami', 'Noragami: Shuuishuu', 'Noragami Aragoto']
animeCharacters	['Yato', 'Yukine', 'Iki, Hiyori', 'Bishamon', 'Kofuku', 'Kazuma', 'Ebisu', 'Daikoku', 'Kuraha', 'Aiha']
animeVoices	['Kamiya, Hiroshi', 'Kaji, Yuki', 'Uchida, Maaya', 'Sawashiro, Miyuki', 'Toyosaki, Aki', 'Fukuyama, Jun', 'Tatsumi, Yuiko', 'Ono, Daisuke', 'Inoue, Kazuhiko', 'Toujou, Hisako']
animeStaff	[['THE ORAL CIGARETTES', 'Theme Song Performance'], ['ryo', 'Theme Song Composition, Theme Song Lyrics, Theme Song Arrangement'], ['Tia', 'Theme Song Performance'], ['Adachitoka', 'Original Creator']]
