animeTitle	Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono
animeType	OVA
animeNumEpisode	1
releaseDate	2017-01-12 00:00:00
endDate	
animeNumMembers	
animeScore	7.17
animeUsers	44663
animeRank	
animePopularity	1810
animeDescription	"At Hope's Peak Academy, a school full of extraordinarily talented individuals, Nagito Komaeda is an ordinary boy with no special traits or interesting skills to speak of—except for his incredible unluckiness. Just walking to school in the morning leads to a number of unfortunate accidents, which only escalate as the day goes on. Despite this, Komaeda leads a relatively normal life and is satisfied with his modest slice of happiness.

But everything changes when a mysterious boy who declares himself the ""Destroyer of the World"" arrives to shatter this hopeless paradise.

[Written by MAL Rewrite]"
animeRelated	['Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen', 'Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen', 'Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen']
animeCharacters	['Komaeda, Nagito', 'Hinata, Hajime', 'Kamukura, Izuru', 'Kuzuryuu, Fuyuhiko', 'Naegi, Makoto', 'Mioda, Ibuki', 'Tsumiki, Mikan', 'Souda, Kazuichi', 'Nevermind, Sonia', 'Pekoyama, Peko']
animeVoices	['Ogata, Megumi', 'Takayama, Minami', 'Kishio, Daisuke', 'Koshimizu, Ami', 'Kayano, Ai', 'Hosoya, Yoshimasa', 'Arakawa, Miho', 'Mitsuishi, Kotono']
animeStaff	[['Kodaka, Kazutaka', 'Original Creator']]
