animeTitle	Bloody Night
animeType	ONA
animeNumEpisode	1
releaseDate	2006-05-21 00:00:00
endDate	
animeNumMembers	
animeScore	3.88
animeUsers	1691
animeRank	
animePopularity	8603
animeDescription	"A little girl is wandering the streets late at night, but something is eerily amiss. Suddenly, a vicious red monster appears and begins chasing her. As she desperately tries to get away, she encounters a homeless old man in an alleyway and later an armed policeman who both try to save her. Can either of these brave men save the girl from the monster that pursues her so relentlessly?

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Little Girl', 'Police Officer']
animeVoices	[]
animeStaff	[['Takena, Nagao', 'Director']]
