animeTitle	Futari no Oujisama
animeType	Movie
animeNumEpisode	1
releaseDate	1996-07-12 00:00:00
endDate	
animeNumMembers	310
animeScore	
animeUsers	
animeRank	15657
animePopularity	14468
animeDescription	On the island of Jambe, Subarna, an introverted boy, is given a magic crown and, with the help of the crown, soon becomes the people's hero known kind heartedness. This enrages Rupia, the island's young prince, who has Subarna arrested.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
