animeTitle	Promare: Galo-hen
animeType	ONA
animeNumEpisode	1
releaseDate	2019-05-24 00:00:00
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	11072
animeRank	
animePopularity	3915
animeDescription	A prequel set one day before the events of the Promare film.
animeRelated	['Promare', 'Promare: Lio-hen']
animeCharacters	['Thymos, Galo', 'Foresight, Kray', 'Truss, Varys']
animeVoices	[]
animeStaff	[['Imaishi, Hiroyuki', 'Director'], ['Tatemoto, Itsuki', 'Script, Publicity']]
