animeTitle	InuYasha: Kuroi Tessaiga
animeType	Special
animeNumEpisode	1
releaseDate	2008-07-30 00:00:00
endDate	
animeNumMembers	33338
animeScore	7.75
animeUsers	12423
animeRank	955
animePopularity	3125
animeDescription	"A 30-minute Inuyasha feature titled Kuroi Tessaiga screened on Takahashi Rumiko's picture exhibitions across Japan.

In January 2010, this special ended up, slightly edited, as episode 15 of Inuyasha Kanketsu-hen."
animeRelated	['InuYasha']
animeCharacters	['Inuyasha', 'Sesshoumaru', 'Higurashi, Kagome']
animeVoices	[]
animeStaff	[['Ikeda, Shigemi', 'Art Director'], ['Morikawa, Eiko', 'Sound Effects'], ['Ebisawa, Takuya', 'Background Art'], ['Hishinuma, Yoshihito', 'Character Design, Chief Animation Director']]
