animeTitle	b'MahoYome: Aisatsu'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.0
animeUsers	3134
animeRank	
animePopularity	
animeDescription	b'The official Twitter account for Mahoutsukai no Yome began streaming an episode 0 of the MahoYome anime shorts on Tuesday. In the episode, Chise, Elias, and Ruth debate about who should speak, and Chise eventually introduces the anime.\n\n(Source: ANN)'
animeRelated	[b'Mahoutsukai no Yome', b'MahoYome']
animeCharacters	[b'Hatori, Chise', b'Ainsworth, Elias', b'Ruth']
animeVoices	[]
animeStaff	[]
