animeTitle	Genki Bakuhatsu Ganbaruger
animeType	TV
animeNumEpisode	47
releaseDate	
endDate	
animeNumMembers	
animeScore	6.91
animeUsers	269
animeRank	
animePopularity	11125
animeDescription	"Koutarou's father is trying to train his son in the art of the ninja, but a mis-hit bomb accidently damages a shrine and releases a great demon that Eldoran had been keeping contained. Eldoran manages to contain him, but one of his servants manages to escape as well, and now attempts to free his master. To stop him, Eldoran grants the three mecha Gotiger, King Elephan, and Mach Eagle to Koutarou and his two friends, as well as suits that grant each of them a special power. Miracle Ninja Ganbare Team is born!

(Source: starfox.net)"
animeRelated	['Zettai Muteki Raijin-Oh', 'Nekketsu Saikyou Go-Saurer', 'Genki Bakuhatsu Ganbaruger: Hyakka']
animeCharacters	['Kirigakure, Koutarou', 'Yaminorius III', 'Kirigakure, Toubei', 'Ryuzaki, Rikiya', 'Kazamatsuri, Yousuke', 'Eldran', 'Araki, Jun', 'Takeda, Secretary', 'Araki, Genzo', 'Seiyark']
animeVoices	['Orikasa, Ai', 'Sogabe, Kazuyuki', 'Ogata, Kenichi', 'Shimada, Bin', 'Minami, Omi', 'Yamaguchi, Ken', 'Nishimura, Tomomichi']
animeStaff	[['Kawase, Toshifumi', 'Director, Storyboard'], ['Yatate, Hajime', 'Original Creator'], ['Hasegawa, Tomoki', 'Music'], ['Kise, Kazuchika', 'Animation Director']]
