animeTitle	Hanayaka Nari, Waga Ichizoku: Kinetograph
animeType	OVA
animeNumEpisode	2
releaseDate	2012-12-02 00:00:00
endDate	2013-03-14 00:00:00
animeNumMembers	
animeScore	6.4
animeUsers	5731
animeRank	
animePopularity	4623
animeDescription	"During the Taishou period of early 20th-century Japan, Haru Asagi is sent to work as a maid to support her struggling family. The Miyanomori family, which she serves, is highly influential across Japan and consists of one of the nation's top magnates and his six sons—but power and money have brought out the cruelest in these brothers. 

When the head of the family announces his retirement, the six Miyanomori brothers are left to vie for his position. With 18 years of experience separating the oldest and youngest brothers, frustration and competition are rife. As a result, Haru is left to deal with each of the vastly different siblings and explore the depths of their true selves. All the while, a greater conflict lies in wait with the potential to destroy everything their father has built for them. 

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Miyanomori, Isami', 'Miyanomori, Susumu', 'Miyanomori, Hiroshi', 'Miyanomori, Masashi', 'Miyanomori, Shigeru', 'Asagi, Haru', 'Miyanomori, Tadashi', 'Miyanomori, Mamoru']
animeVoices	['Tasaka, Hideki', 'Kakehashi, Atsushi', 'Kishio, Daisuke', 'Okamoto, Nobuhiko', 'Maeda, Takeshi', 'Saitou, Yuka', 'Miyauchi, Atsushi', 'Tai, Yuuki']
animeStaff	[['Kuzuya, Naoyuki', 'Director'], ['Nakano, Tooru', 'Sound Director'], ['Mieno, Hitomi', 'Script'], ['Annabel', 'Theme Song Performance']]
