animeTitle	b'Super Mario no Shouboutai'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.22
animeUsers	216
animeRank	
animePopularity	
animeDescription	b'An obscure anime video animated by Toei that also functions as a fire safety Public Service Announcement. Very little is known about the video and details regarding distribution, plot and character names can only be deduced by the video itself.\n\n(Source: MarioWiki)'
animeRelated	[b'Super Mario Brothers: Peach-hime Kyuushutsu Daisakusen!', b'Amada Anime Series: Super Mario Brothers']
animeCharacters	[b'Mario', b'Luigi']
animeVoices	[b'\nShioya, Yoku\nJapanese\n']
animeStaff	[]
