animeTitle	Shiofuki Mermaid
animeType	OVA
animeNumEpisode	1
releaseDate	2011-10-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	1147
animeRank	
animePopularity	8119
animeDescription	"Based on the eroge by Marine.

Makoto is an ordinary university student who often visits a nearby swimming pool to swim and watch women in swimsuits. One day, he is asked to teach Marina how to swim. It seems she can't swim at all. While he touches her body, he gets an erection. Marina notices it, and gives him a blowjob. When he touches her vagina, she cries out in pleasure and achieves female ejaculation. His unknown erotic ability comes into bloom! Make all women—from a university student to a married woman—ejaculate with your fingers!

(Source: ErogeShop)"
animeRelated	[]
animeCharacters	['Kawaishi, Makoto', 'Hongou, Marina', 'Negishi, Hinako']
animeVoices	['Miyashita, Eiji', 'Amamiya, Yuu', 'Mizusawa, Kei']
animeStaff	[['Kurotsuguchi, Narue', 'Episode Director, Storyboard']]
