animeTitle	b'Power Dolls'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.36
animeUsers	656
animeRank	
animePopularity	
animeDescription	b'In 2535 A.D., after decades of oppressive policies instituted by the Terran government, the people of the colony world Omni joined together to declare their independence from the tyranny of planet Earth. Lacking an established military or specialized weapons of warfare, the Omni rebellion seemed doomed to failure. However, by adapting the robotic Power Loaders used for unloading spaceships into man-like battle tanks, the Rebel forces instead introduced a whole new era of mechanized combat. Now, the future of the planet Omni rests upon a handful of young female pilots who serve in the special Detachment of Limited Line Service. Their code name: The Power Dolls!\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Takasu, Nami', b'Pershing, Amy', b'Evans, Millicent', b'Knox, Alice', b'Kuang-Mei, Huang', b'Fei-Lung, Yao', b'Scheele, Selma', b'Newland, Hardy', b'Younger Sister', b'Older Brother']
animeVoices	[b'\nYokoyama, Chisa\nJapanese\n', b'\nHikami, Kyouko\nJapanese\n', b'\nShiratori, Yuri\nJapanese\n', b'\nTakada, Yumi\nJapanese\n', b'\nNeya, Michiko\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nYukana\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nMotoi, Emi\nJapanese\n', b'\nShimamura, Kaoru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nGreenfield, Matt\n\nProducer\n\n', b'\nKawamoto, Toshihiro\n\nCharacter Design\n\n', b'\nEgawa, Tatsuya\n\nOriginal Creator\n\n', b'\nTomioka, Atsuhiro\n\nScreenplay\n\n']
