animeTitle	Kyuuketsuki
animeType	OVA
animeNumEpisode	2
releaseDate	2011-03-11 00:00:00
endDate	2012-12-21 00:00:00
animeNumMembers	
animeScore	5.87
animeUsers	2514
animeRank	
animePopularity	5989
animeDescription	"The vampire. A legendary creature that lives in the shadows and preys on humanity.

Onohara Mikage is an unfortunate girl who sold herself to a clan of vampires to pay off her parents' debt. What has the clan head, Claude, prepared for her? Will she be able to pay herself off and obtain her freedom?"
animeRelated	[]
animeCharacters	['Onohara, Mikage', 'Himeno', 'Claude']
animeVoices	['Asai, Kiyomi', 'Asai, Harumi', 'Suzuki, Tatsuhisa']
animeStaff	[['Shinkai, Kouki', 'Editing'], ['Nishi, Shigenari', 'Editing']]
