animeTitle	b'Enoshimans'
animeType	b'ONA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The anime promotes the new Enoshima Aquarium, and is set in Enoshima in the Shonan region. The anime centers on three jellyfish named Mizukurage (moon jellyfish), Akakurage (northern sea nettle), and Pacific sea nettle. All three are frequent visitors of the Enoshima Aquarium to the point of all three having annual passes. \n\n(Source: ANN)'
animeRelated	[b'Enoshimans Spin-off: Kurage no Soudan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
