animeTitle	Tetsu no Ko Kanahiru
animeType	Movie
animeNumEpisode	1
releaseDate	2007-08-04 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16171
animeDescription	"There came a time when iron vanished from Okinawa.

A Cana baby called Kanahiru arrived at the shores of Okinawa. He was from a far away land called Iron Hills. A place far beyond the seas.  He was baffled by the deformity of Gana Hill, even teased the citizens, but he decided to stay.

Years later ferocious demons capture Gana Hill and take Kanahiru to the demon island."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
