animeTitle	Fumetsu no Anata e
animeType	TV
animeNumEpisode	20
releaseDate	2021-04-12 00:00:00
endDate	2021-08-30 00:00:00
animeNumMembers	571781
animeScore	8.45
animeUsers	174954
animeRank	135
animePopularity	258
animeDescription	"An Orb, known only as It, is cast to Earth to be observed from afar. Capable of changing forms from beings whose reflections It captures, It first becomes a rock and then, due to the rising temperature, moss.

It does not move until one snowy day, a wolf at death's door barely crosses by. When It takes the animal's form, It attains awareness of its consciousness and starts to wander with an unclear destination in mind. Soon, It comes across the wolf's master—a young boy waiting for his tribe to return from a paradise abundant with fish and fruit in the south. Although the boy is lonely, he still hopes those whom he holds dear in his memories have not forgotten him and that he will reunite with them one day.

The boy wants to explore new surroundings and decides to abandon his home with It to find the paradise using the traces his tribe left behind. However, with a heavily injured body and no sight of his elder comrades, what will become of the boy?

Fumetsu no Anata e illustrates the story of an immortal being experiencing humanity, meeting all types of people in many places throughout time.

[Written by MAL Rewrite]"
animeRelated	['Fumetsu no Anata e', 'Fumetsu no Anata e: Fushi no Tabiji', 'Fumetsu no Anata e 2nd Season']
animeCharacters	['Fushi', 'Gugu', 'March', 'Parona', 'Pyoran', 'Joan', 'Dalton, Tonari', 'Kansatsusha', 'Cropp, Rynn', 'Hayase']
animeVoices	['Kawashima, Reiji', 'Shiraishi, Ryouko', 'Hikisaka, Rie', 'Uchida, Aya', 'Aikawa, Rikako', 'Inagawa, Eri', 'Tsuda, Kenjirou', 'Iwami, Manaka', 'Saiga, Mitsuki']
animeStaff	[['Murata, Masahiko', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Utada, Hikaru', 'Theme Song Composition, Theme Song Performance, Theme Song Lyrics'], ['Hamauzu, Masashi', 'Theme Song Performance']]
