animeTitle	Jitsu wa Watashi wa
animeType	TV
animeNumEpisode	13
releaseDate	2015-07-07 00:00:00
endDate	2015-09-29 00:00:00
animeNumMembers	
animeScore	6.88
animeUsers	104125
animeRank	
animePopularity	805
animeDescription	"One day after school, Asahi Kuromine stumbles upon the truth that Youko Shiragami, the girl he has a crush on, is actually a vampire. According to her father's rules, Youko must now quit school in order to keep her family safe. However, Asahi does not want her to go and promises that he will keep her true nature secret. Unfortunately, this turns out to be easier said than done, as Asahi is a man who is easy to read and is unable to keep any secrets to himself.

And this is the only the beginning of his troubles—more supernatural beings enter his life, and he is forced to protect all of their identities or face the consequences. Jitsu wa Watashi wa follows Asahi as he deals with his new friends and the unique challenges they bring, struggles to keep his mouth shut, and desperately tries to win Youko's heart in the process.

[Written by MAL Rewrite]"
animeRelated	['Jitsu wa Watashi wa']
animeCharacters	['Shiragami, Youko', 'Koumoto, Akane', 'Aizawa, Nagisa', 'Kuromine, Asahi', 'Akemi, Mikan', 'Shishido, Shiho', 'Koumoto, Akari', 'Okada, Kanade', 'Sakurada', 'Shimada, Yuuta']
animeVoices	['Serizawa, Yuu', 'Ichimichi, Mao', 'Minase, Inori', 'Hanae, Natsuki', 'Ueda, Reina', 'Uchida, Aya', 'Nitta, Emi', 'Hirakawa, Daisuke', 'Hatano, Wataru', 'Shimono, Hiro']
animeStaff	[['Yamamoto, Yasutaka', 'Director, Storyboard'], ['Tanaka, Kazuya', 'Sound Director'], ['Shinohara, Keisuke', 'Episode Director'], ['Yamashita, Kenichi', 'Script, Series Composition']]
