animeTitle	Aisai Nikki
animeType	OVA
animeNumEpisode	1
releaseDate	2010-12-22 00:00:00
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	4005
animeRank	
animePopularity	5384
animeDescription	"Sanae is the wife that anyone would be jealous of. She is young, very sexy and gentle. 

However, after 4 years of marriage, her husband worries if is he good enough for his wife. For a long time he is not able to have a sex with Sanae, but she never complained about it. He starts to think of way to make his dear wife happy and finally asks for his friend to have a sex with his wife. While he's secretly watching his wife with other man, he starts to feel incredibly stimulated... "
animeRelated	['Aisai Nikki']
animeCharacters	['Noumi, Sanae']
animeVoices	['Ichimura, Oma']
animeStaff	[['Tanaka, Hideyuki', 'Sound Director'], ['Orc Soft', 'Original Creator'], ['Kuroda, Akimi', 'Original Character Design']]
