animeTitle	Yasashii Kinyoubi
animeType	Movie
animeNumEpisode	1
releaseDate	1975-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	3.77
animeUsers	564
animeRank	
animePopularity	11105
animeDescription	"An animation mixing hand-drawn and cut-out techniques depicting the daily rituals of weekday morning that is occasionally interrupted by flights of fantasy delivered in stroboscopic flashes. Showing scenes of brushing teeth and face washing, Tanaami describes the film to be like a self-portrait on his favorite day of the week.

(Source: Collaborative Cataloging Japan)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
