animeTitle	Anime 80-nichikan Sekai Isshuu
animeType	TV
animeNumEpisode	26
releaseDate	1984-01-08 00:00:00
endDate	1984-07-15 00:00:00
animeNumMembers	4391
animeScore	6.81
animeUsers	2329
animeRank	4578
animePopularity	7391
animeDescription	"Willy Fog accepts a bet from members of the Reform Club that he can make it around the world in 80 days. His plan, however, does not include being stopped by unknown enemies.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Fog, Willy', 'Rigodon', 'Princess Romy', 'Chico', 'Inspector Dix', 'Commissioner Rowan', 'Railroad corporation president', 'Reporter Ralf', 'Transfer', 'Mr. Sullivan']
animeVoices	['Ginga, Banjou', 'Tomiyama, Kei', 'Takahashi, Miki', 'Nozawa, Masako', 'Nagai, Ichiro', 'Nishimura, Tomomichi', 'Shioya, Kouzou', 'Tatsuta, Naoki', 'Chiba, Shigeru', 'Genda, Tesshou']
animeStaff	[['Kurokawa, Fumio', 'Director, Episode Director, Storyboard'], ['Koshi, Shigeo', 'Storyboard'], ['Endou, Katsumi', 'Storyboard'], ['Itou, Akira', 'Theme Song Lyrics']]
