animeTitle	Gitai Saimin
animeType	OVA
animeNumEpisode	2
releaseDate	2011-01-14 00:00:00
endDate	2011-04-20 00:00:00
animeNumMembers	3267
animeScore	5.92
animeUsers	1023
animeRank	
animePopularity	8170
animeDescription	"Shinta is just an average student. But one day, a tentacle-shaped alien suddenly parasitizes in his penis. Shinta complains about it, but the alien answers there will be no problem because it can mimic. Shinta decides to satisfy his sexual desire using this power....

(Source: Eroge Shop)"
animeRelated	['Gitai Saimin: Gitai-hen', 'Gitai Saimin: Saimin-hen', 'Saimin Gakuen', 'Saimin Jutsu The Animation 2nd']
animeCharacters	['Kasuga, Reina', 'Shirayama, Akari', 'Yasaka, Hitomi', 'Shirayama, Fumiko']
animeVoices	[]
animeStaff	[['Yoshino, Keiko', 'Original Character Design'], ['Tsubone, Kentarou', 'Editing'], ['Black Rainbow', 'Original Creator']]
