animeTitle	Ketakuma no DVD
animeType	OVA
animeNumEpisode	21
releaseDate	2018-11-21 00:00:00
endDate	
animeNumMembers	140
animeScore	
animeUsers	
animeRank	16703
animePopularity	17127
animeDescription	Ketakuma is a popular LINE stamp character. He's featured in the gif stamps section and his character won the 2016 LINE Creators Stamp Award. Pony Canyon has now teamed up with Ketakuma's designer to make a fully animated DVD ripe with comedy skits and music videos.  
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
