animeTitle	Yoshida no Matsue Beauty Daisakusen
animeType	ONA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14457
animeDescription	A Matsue City collaboration anime with Eagle Talon. Yoshida and Hifumi Arai go exploring the city for these beautifying locations. All 3 episodes (and the prologue) were uploaded on the same day but then a bit later episode 2 and 3 were removed. They were then reuploaded the week after and the week after that, as a minor semblance to a weekly released series instead.
animeRelated	['Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun', 'Heisei Matsue Kaidan: Ayashi', 'Matsue Kankou Taishi Sanri ga Iku! Matsue Ghost Tour', 'Yoshida no Time Slip Fumai-kou', '3-bu de Wakaru Koizumi Yakumo no Kaidan', 'Heisei Matsue Kaidan', 'Yoshida no Matsue Beauty Daisakusen Prologue']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
