animeTitle	Dream
animeType	ONA
animeNumEpisode	1
releaseDate	2020-01-24 00:00:00
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	216
animeRank	
animePopularity	13169
animeDescription	"The short follows the dream of a young boy in which strange whale teleports him to a fantasy land where a happy cat named Pero (modeled after the character in the Nagagutsu wo Haita Neko anime that serves as Toei Animation's mascot) appears.

The piece is entirely dialogueless.

(Source: ANN edited)"
animeRelated	['Nagagutsu wo Haita Neko']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
