animeTitle	Blassreiter
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.91
animeUsers	25422
animeRank	
animePopularity	1922
animeDescription	"Modern Germany is plagued by an outbreak of ""Amalgams."" Existing solely to wreak havoc, these cybernetic entities spawn from rotting flesh and can fuse with technology to gain new abilities. With society left in the wake of their destruction, the Xenogenesis Assault Team (XAT) is formed to suppress the threat. Alongside its primary mission to protect against the Amalgam attacks, the organization is also researching the newly discovered ""amalgamated"" humans which possess rational thought and are far deadlier than their non-sentient counterparts.

Joseph Jobson is one such amalgamated human who has full control over his powers. Although successful in his line of work as a lone warrior, an unfortunate encounter with the recently-turned-Amalgam Gerd Frentzen makes him a priority target of the XAT. As he eludes the organization and seeks new allies, Joseph is transformed into the Blassreiter—a being heralded as the strongest Amalgam in existence. Now, he must fight back with his newfound powers to uncover the truth behind not only his past, but also the entire Amalgam conflict.

[Written by MAL Rewrite]"
animeRelated	['Blassreiter Judgment', 'Blassreiter: Navi']
animeCharacters	['Jobson, Joseph', 'Werner, Amanda', 'Frentzen, Gerd', 'Saltza, Hermann', 'Xargin, Magwald', 'Elea', 'Lutz, Alvin', 'Kasagi, Shido', 'Jobson, Sasha', 'Grese, Beatrice']
animeVoices	['Matsukaze, Masaya', 'Itou, Shizuka', 'Ishizuka, Unshou', 'Miyake, Kenta', 'Suwabe, Junichi', 'Hanazawa, Kana', 'Hiyama, Nobuyuki', 'Nabatame, Hitomi', 'Ohara, Sayaka']
animeStaff	[['Nagai, Masaru', 'Producer'], ['Itano, Ichirou', 'Director, Episode Director, Script, Storyboard, Animation Director, Screenplay, Key Animation, Series Composition'], ['Aketagawa, Jin', 'Sound Director'], ['Nobuta, Yuu', 'Episode Director']]
