animeTitle	b'Subarashiki Kokka no Kizukikata'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.13
animeUsers	796
animeRank	
animePopularity	
animeDescription	"b""Ariadne just became the princess of the small country Avon. But already it's in a deep financial crisis. In an effort to save the country she declares that Avon must focus on developing their sex industry.\n\n(Source: Translated from DlSite)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
