animeTitle	Yuusei Shounen Papii
animeType	TV
animeNumEpisode	52
releaseDate	1965-06-03 00:00:00
endDate	1966-05-27 00:00:00
animeNumMembers	
animeScore	5.69
animeUsers	159
animeRank	
animePopularity	12061
animeDescription	"Tells the story of a member of the Universal Peace Corps from the Planet Radion coming to Earth on a mission to determine if this world meets standards for membership in the Galactic Union of Worlds and assist its inhabitants during his stay. While on his mission Prince Planet adopts the identity of an Earth boy named Bobby and gains comrades who work together alongside him combating evil forces both alien and terrestrial. 

(Source: Wikipedia) "
animeRelated	[]
animeCharacters	['Papii', 'Ajababa']
animeVoices	['Kamo, Yoshihisa']
animeStaff	[['Wakabayashi, Tadao', 'Episode Director'], ['Duke Aces', 'Theme Song Performance, Music'], ['Noda, Takuo', 'In-Between Animation']]
