animeTitle	b'Seitokai no Ichizon Lv.2: Watasu Seitokai'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	9492
animeRank	
animePopularity	
animeDescription	"b""An OVA bundled with the eighth volume of the Seitokai Series Spinoff novel. \n\nThe story itself takes place on Valentine's Day where you could see how the second season's heroines handle the awkward situation of giving a gift to the main character, Sugisaki Ken."""
animeRelated	[b'Seitokai no Ichizon Lv.2']
animeCharacters	[b'Sugisaki, Ken', b'Shiina, Mafuyu', b'Akaba, Chizuru', b'Sakurano, Kurimu', b'Shiina, Minatsu', b'Toudou, Elise', b'Toudou, Lilicia', b'Sugisaki, Ringo', b'Minase, Luna', b'Uchuu, Meguru']
animeVoices	[b'\nKondou, Takashi\nJapanese\n', b'\nNomizu, Iori\nJapanese\n', b'\nMina\nJapanese\n', b'\nHonda, Mariko\nJapanese\n', b'\nTogashi, Misuzu\nJapanese\n', b'\nShimizu, Ai\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nYonezawa, Madoka\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNomizu, Iori\n\nTheme Song Performance\n\n', b'\nTogashi, Misuzu\n\nTheme Song Performance\n\n', b'\nHonda, Mariko\n\nTheme Song Performance\n\n', b'\nMina\n\nTheme Song Performance\n\n']
