animeTitle	Kujibiki Unbalance
animeType	OVA
animeNumEpisode	3
releaseDate	2004-12-22 00:00:00
endDate	2005-04-22 00:00:00
animeNumMembers	11117
animeScore	6.1
animeUsers	5000
animeRank	8166
animePopularity	5081
animeDescription	"Chihiro Enomoto is a freshman that just got to a new school called Rikkyoin High School. He lost his parents in a traffic accident when he was 10. Since then, he has been living only with his elder sister Shinobu. He is good at cooking and cleaning, and does all the housekeeping jobs. He fell in love with Tokino at first sight when he met her in the school library on the first day of school. Another girl named Ritsuko, a childhood friend of Chihiro and the chair of student council, falls in the love with the boy instantly after this long-awaited reunion. But she is not the only one who is in love with him. This is the story about a one-year campaign among the candidates for the next students government leaders, who are also chosen by the lot (kujibiki), in order to gain the position.

(Source: ANN)"
animeRelated	['Genshiken', 'Kujibiki♥Unbalance']
animeCharacters	['Kamishakuji, Renko', 'Asagiri, Komaki', 'Tachibana, Izumi', 'Enomoto, Chihiro', 'Akiyama, Tokino', 'Kettenkrad, Ritsuko Kübel', 'Asagiri, Koyuki', 'Kisaragi, Kasumi', 'Yamada, Kaoruko', 'Rokuhara, Mugio']
animeVoices	['Ootani, Ikue', 'Tamura, Yukari', 'Kaida, Yuuko', 'Imai, Yuka', 'Kanda, Akemi', 'Chiba, Saeko', 'Kawasumi, Ayako', 'Gotou, Yuuko', 'Suzumura, Kenichi']
animeStaff	[['Mizushima, Tsutomu', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Yokote, Michiko', 'Script'], ['UNDER17', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement, Inserted Song Performance']]
