animeTitle	K
animeType	TV
animeNumEpisode	13
releaseDate	2012-10-05 00:00:00
endDate	2012-12-28 00:00:00
animeNumMembers	668075
animeScore	7.47
animeUsers	331769
animeRank	1733
animePopularity	212
animeDescription	"""Kings"" are individuals who have been bestowed with incredible supernatural powers and granted the ability to recruit others into their clans. Protecting the lives and honor of their clansmen is an integral part of the Kings' duties. After a video depicting the heinous murder of a Red Clansman spreads virally, the unassuming student Yashiro Isana is accused of homicide. Now, a manhunt is underway for his head, bringing him into contact with the infamous ""Black Dog"" Kurou Yatogami—a skilled swordsman and martial artist determined to follow the wishes of his late master, the Seventh King.

Meanwhile, the current Red King, Mikoto Suou, faces his own imminent demise as the search for Yashiro narrows. But during Yashiro's struggle to prove his innocence, a greater conspiracy is unraveling behind the scenes; clouds begin to appear in his memory, and close friends start to question his very existence. What began as a simple murder is now leading towards a full blown war between Kings with the very fate of the world at stake. 

[Written by MAL Rewrite]"
animeRelated	['K: Memory of Red', 'K: Stray Dog Story', 'K Side:Blue', 'K Side:Red', 'K Side:Black & White', 'K: Days of Blue', 'K: The First', 'Gakuen K', 'K: Lost Small World', 'K: R:B', 'K: Missing Kings', 'K: Seven Stories Movie 1 - R:B - Blaze']
animeCharacters	['Suou, Mikoto', 'Isana, Yashiro', 'Neko', 'Yatogami, Kurou', 'Munakata, Reishi', 'Yata, Misaki', 'Fushimi, Saruhiko', 'Kushina, Anna', 'Totsuka, Tatara', 'Kusanagi, Izumo']
animeVoices	['Tsuda, Kenjirou', 'Namikawa, Daisuke', 'Komatsu, Mikako', 'Ono, Daisuke', 'Sugita, Tomokazu', 'Fukuyama, Jun', 'Miyano, Mamoru', 'Horie, Yui', 'Kaji, Yuki', 'Sakurai, Takahiro']
animeStaff	[['Nakanishi, Go', 'Producer'], ['Suzuki, Shingo', 'Director, Episode Director, Storyboard, Layout, Character Design, Animation Director, Key Animation'], ['Kanazawa, Hiromichi', 'Director'], ['Kudou, Susumu', 'Director, Episode Director']]
