animeTitle	Katsugeki/Touken Ranbu
animeType	TV
animeNumEpisode	13
releaseDate	2017-07-02 00:00:00
endDate	2017-09-24 00:00:00
animeNumMembers	106205
animeScore	6.74
animeUsers	24675
animeRank	4897
animePopularity	1539
animeDescription	"In 1863, Izuminokami Kanesada and his partner, Horikawa Kunihiro, arrive in the streets of Edo from the future to investigate their master's reports of an upcoming enemy invasion. As humanoid manifestations of the famous Toshizou Hijikata's swords, they have been tasked with protecting history from the Retrograde Army that seeks to alter it. Soon enlisting the help of other sword warriors, they continuously battle the mysterious army throughout the Bakumatsu period.

However, their journey will not be an easy one. Fraught with blood and betrayal in the chaotic era closest to their hearts, the duo will be forced to make difficult decisions with everything they care about on the line. 

[Written by MAL Rewrite]"
animeRelated	['Katsugeki/Touken Ranbu', 'Touken Ranbu: Hanamaru', 'Katsugeki/Touken Ranbu Movie']
animeCharacters	['Kuninaga, Tsurumaru', 'Kanesada, Izuminokami', 'Yoshiyuki, Mutsunokami', 'Toushirou, Yagen', 'Kunihiro, Horikawa', 'Tonbokiri', 'Munechika, Mikazuki', 'Mitsutada, Shokudaikiri', 'Kunihiro, Yamanbagiri', 'Kogitsunemaru']
animeVoices	['Saitou, Souma', 'Kimura, Ryouhei', 'Hama, Kento', 'Yamashita, Seiichirou', 'Enoki, Junya', 'Sakurai, Tooru', 'Toriumi, Kousuke', 'Satou, Takuya', 'Maeno, Tomoaki', 'Kondou, Takashi']
animeStaff	[['Kondou, Hikaru', 'Producer, Sound Director, Planning'], ['Usa, Yoshiki', 'Producer'], ['Shirai, Toshiyuki', 'Director, Episode Director, Storyboard, Key Animation'], ['Miura, Takahiro', 'Episode Director, Storyboard']]
