animeTitle	Enbi
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	1712
animeRank	
animePopularity	7578
animeDescription	"It's time for the local summer festival and Kentarou is accompanying Shizue, who has come to visit after being away for a few years. During the festival Kentarou leaves Shizue alone for a bit, and when he finds her again he sees a shocking scene...

Later, Shizue goes to a local photo studio to pick up some photos from the summer festival, and decides to do a bit of modeling while there. Before long Kentarou also joins...

(Source: AniDB)"
animeRelated	['Enbi']
animeCharacters	['Shizue', 'Kentarou', 'Rumi']
animeVoices	['Akimoto, Nerine']
animeStaff	[['Murakami, Kotaro', 'Producer, Planning'], ['Awai, Shigeki', 'Director, Character Design'], ['Miyabi, Tsuzuru', 'Original Creator']]
