animeTitle	Onigiri
animeType	TV
animeNumEpisode	13
releaseDate	2016-04-07 00:00:00
endDate	2016-06-30 00:00:00
animeNumMembers	28072
animeScore	5.33
animeUsers	8324
animeRank	10837
animePopularity	3409
animeDescription	"Ancient Japan is under attack by powerful beings called ""Kamikui,"" and it is up to the ""Oni"" and his band of eight beautiful female warriors to stop them. Each of these girls have unique skills, abilities, and personalities. They partner themselves with the Oni, Jin, to stop the miasma of darkness sweeping across Japan. Onigiri follows the escapades of Jin and his merry companions as they strengthen their bonds and fend off the demonic invasion.

[Written by MAL Rewrite]"
animeRelated	['Onigiri']
animeCharacters	['Ibaraki-douji', 'Shizuka Gozen', 'Jin', 'Yoshitsune', 'Amaterasu', 'Kaguya', 'Uzume', 'Narrator', 'Veronica', 'Sakura']
animeVoices	['Mimori, Suzuko', 'Suzuki, Aina', 'Matsui, Eriko', 'Hara, Natsuko', 'Kitta, Izumi', 'Nakane, Monya', 'Konishi, Katsuyuki', 'Nakashima, Yuki']
animeStaff	[['Yamamoto, Takashi', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Aoshima, Takashi', 'Script'], ['Kouno, Takamitsu', 'Script, Series Composition']]
