animeTitle	Boku no Chikyuu wo Mamotte
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.15
animeUsers	4810
animeRank	
animePopularity	4431
animeDescription	"Alice Sakaguchi once dreamt that she is another person living on the moon. The dream is so strange and so real that Alice can't stop thinking about it. She finds out that some of her classmates are having the same kind of dream. They soon discover that they had been seeing flashes of their past lives as a team of scientists on the moon. Alice and her friends then decide to find the other members and piece together what took place back then. Complications arise when they realize that everything that happened in their previous existence continue to haunt and affect their present lives. 

(Source: ANN)"
animeRelated	['Boku no Chikyuu wo Mamotte', 'Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e', 'Boku no Chikyuu wo Mamotte: Kiniro no Toki Nagarete']
animeCharacters	['Kobayashi, Rin', 'Shion', 'Mokuren', 'Sakaguchi, Alice', 'Nishikiori, Issei', 'Kazama, Haruhiko', 'Yakushimaru, Mikuro', 'Enju', 'Hiragi', 'Shusuran']
animeVoices	['Touma, Yumi', 'Hayami, Show', 'Shinohara, Emi', 'Shiratori, Yuri', 'Okiayu, Ryoutarou', 'Yamaguchi, Kappei', 'Seki, Toshihiko', 'Takamori, Yoshino', 'Tobita, Nobuo', 'Matsui, Naoko']
animeStaff	[['Ishikawa, Mitsuhisa', 'Producer'], ['Yamazaki, Kazuo', 'Director, Script, Series Composition'], ['Urakami, Yasuo', 'Sound Director'], ['SEIKA', 'Theme Song Performance']]
