animeTitle	Uchuu Enban Dai-Sensou
animeType	Movie
animeNumEpisode	1
releaseDate	1975-07-21 00:00:00
endDate	
animeNumMembers	
animeScore	5.63
animeUsers	503
animeRank	
animePopularity	10621
animeDescription	"The pilot movie of Grendizer. It is about Duke Fleed, a fugitive of the planet fleed, who was kicked out of his planet by the Armies of Vega. Fleed and the daughter of the king of Vega were in love before the war between their planets. The armies of Vega continue their fight with Duke Fleed. 

(Source: ANN)"
animeRelated	['UFO Robo Grendizer']
animeCharacters	['Fleed, Duke']
animeVoices	['Sasaki, Isao']
animeStaff	"[[""Koorogi '73"", 'Theme Song Performance'], ['Nagai, Go', 'Original Creator'], ['Koizumi, Kenzou', 'Key Animation'], ['Okuyama, Reiko', 'Key Animation']]"
