animeTitle	Oreca Battle
animeType	TV
animeNumEpisode	51
releaseDate	2014-04-07 00:00:00
endDate	2015-03-30 00:00:00
animeNumMembers	2330
animeScore	5.87
animeUsers	507
animeRank	9118
animePopularity	9026
animeDescription	"The anime adaptation revolves around a young boy named Faiya Orega who loves Oreca competitions. One day, he is granted the power to summon real Oreca monsters due to the mysterious powers of the treasure chest Pandora. To protect the peace of the Oreca world, Faiya must fight the demon king who threatens the land.

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Orega, Fire', 'Kerogon', 'Pandora', 'Kurata, Gantetsu', 'Uchiki, Data']
animeVoices	['Muranaka, Tomo', 'Kaneda, Tomoko', 'Sakaguchi, Kouichi', 'Toyosaki, Aki']
animeStaff	[['Takahashi, Tomoko', 'Producer'], ['Kamanaka, Nobuharu', 'Episode Director, Storyboard'], ['Sugihara, Kenji', 'Script, Series Composition'], ['Hirabayashi, Sawako', 'Script']]
