animeTitle	Asayake to Nettaigyo
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.41
animeUsers	137
animeRank	
animePopularity	15243
animeDescription	"A short music video of the song Asayake to Nettaigyo by the band ""Boku no Lyric no Bouyomi."" It was made in honor of their 3rd album titled ""Fruits Decaying"" which went on sale a month and a half prior. "
animeRelated	['Botsuraku', 'Boku wa Mou Inai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
