animeTitle	b'Ponkotsu Quest Specials'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Ponkotsu Quest web specials are not a part of the original series' episode count. They contain original footage and dialogue. Most of the DVD announcement specials are excluded from this entry due to no new footage.\n"""
animeRelated	[b'Ponkotsu Quest: Maou to Haken no Mamono-tachi', b'Ponkotsu Quest: Maou to Haken no Mamono-tachi Specials']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
