animeTitle	Muchi Muchi Kyousei Seichouchuu!!!
animeType	ONA
animeNumEpisode	2
releaseDate	2018-07-13 00:00:00
endDate	2018-07-20 00:00:00
animeNumMembers	
animeScore	6.83
animeUsers	3182
animeRank	
animePopularity	6134
animeDescription	"Our protagonist is a teacher of a small class of girls. One day he gave the girls a snack, but that snack ended up having some HUGE effects! They grew up! They behave just as they did before, despite their voluptuous bodies... Receiving lots of their unintentional temptations, his patience is about to run out...

(Source: hanime)"
animeRelated	[]
animeCharacters	['Yuuki', 'Kanon', 'Lily', 'Cocoa', 'Sensei']
animeVoices	[]
animeStaff	[['Maron☆Maron', 'Original Creator']]
