animeTitle	Bamboo Blade: Fanfu-Fufe-Fo
animeType	Special
animeNumEpisode	2
releaseDate	2008-04-23 00:00:00
endDate	2008-06-25 00:00:00
animeNumMembers	1154
animeScore	5.63
animeUsers	247
animeRank	9979
animePopularity	10794
animeDescription	Bamboo Blade specials released on DVD volumes 4 and 6. Done in a chibi flash animation style and set to bizzare scenarios.
animeRelated	['Bamboo Blade', 'Bamboo Blade: CM Fanfu-Fufe-Fo']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
