animeTitle	Bokura no: Tsuisou
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	935
animeRank	
animePopularity	8286
animeDescription	A Bokurano recap episode of first 15 episodes. Aired on the 24 July 2007 on channel tvk instead of episode 16, while other stations cancelled the broadcast altogether for the same week. 
animeRelated	['Bokura no']
animeCharacters	['Ushiro, Jun', 'Koemushi', 'Yamura, Daiichi', 'Moji, Kunihiko', 'Honda, Chizuru', 'Machi, Yoko', 'Nakarai, Mako', 'Kirie, Yousuke', 'Ano, Maki', 'Yoshikawa, Kanji']
animeVoices	[]
animeStaff	[]
