animeTitle	b'Mahou Shoujo-tai Arusu'
animeType	b'TV'
animeNumEpisode	40
releaseDate	
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	5344
animeRank	
animePopularity	
animeDescription	"b""Arusu believes in magic. With all her heart, she believes that magic is possible and that it can be used for good deeds and fun games. But suddenly, she finds herself transported into another world, ruled by a mysterious elite of witches\xe2\x80\x94and these witches don't seem to be in it for the fun. They're hard at work capturing sprites, the native magical beings of the world, and forcing them into slavery. Once Arusu realizes that her new surroundings aren't just a dream, she sets out to change things.\n\n(Source: ANN)"""
animeRelated	[b'Mahou Shoujo-tai Arusu', b'Mahou Shoujo-tai Arusu the Adventure']
animeCharacters	[b'Sheila', b'Arusu', b'Eva', b'Atelia', b'Grande', b'Will', b'Barunn', b'Grand Master of Witches', b'Lennon', b'Sigma']
animeVoices	[b'\nKuwashima, Houko\nJapanese\n', b'\nKojima, Sachiko\nJapanese\n', b'\nHirohashi, Ryou\nJapanese\n', b'\nTanaka, Atsuko\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nYamano, Fumito\nJapanese\n', b'\nKinomiya, Ryouko\nJapanese\n', b'\nTai, Yuuki\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAshino, Yoshiharu\n\nDirector, Episode Director, Storyboard, Animation Director\n\n', b'\nMiyoshi, Keiichirou\n\nSound Director\n\n', b'\nYoshida, Tooru\n\nEpisode Director, Storyboard, Animation Director\n\n', b'\nNakayama, Daisuke\n\nEpisode Director\n\n']
