animeTitle	Golden Kamuy OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2018-09-19 00:00:00
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	8239
animeRank	
animePopularity	4021
animeDescription	"The 7th Division's Private Hyakunosuke Ogata and former Shinsengumi Vice Commander Toshizou Hijikata find themselves on opposite sides of a gang war in Barato after hearing rumors of the Hidoro gang possessing an escaped prisoner's tattooed skin. With a lead to the hidden Ainu gold close at hand, the two gladly take up arms but a betrayal will force both sides to think twice before carelessly jumping the gun.

[Written by MAL Rewrite]"
animeRelated	['Golden Kamuy']
animeCharacters	['Ogata, Hyakunosuke', 'Hijikata, Toshizou', 'Nagakura, Shinpachi', 'Sugimoto, Saichi', 'Asirpa', 'Shiraishi, Yoshitake', 'Narration', 'Umakichi, Kusuda', 'Chiyoko', 'Hidoro, Tamotsu']
animeVoices	['Tsuda, Kenjirou', 'Nakata, Jouji', 'Sugou, Takayuki', 'Kobayashi, Chikahiro', 'Shiraishi, Haruka', 'Tachiki, Fumihiko', 'Takagi, Wataru', 'Taichi, You', 'Tobita, Nobuo']
animeStaff	[['Noda, Satoru', 'Original Creator']]
