animeTitle	Wanwan Sanjuushi
animeType	TV
animeNumEpisode	26
releaseDate	1981-10-02 00:00:00
endDate	1982-03-26 00:00:00
animeNumMembers	2593
animeScore	6.74
animeUsers	1300
animeRank	4927
animePopularity	8779
animeDescription	The story begins with the arrival of a brave young boy in Paris. His ambition is to join the glorious Imperial Guards, but fierce competition and the minimum age requirement hinder him from joining. The boy then challenges the well-known Three Musketeers in order to demonstrate his excellent skills with the sword. However, at the very moment the fight begins, a power-hungry group cuts in. Realizing their wicked intention, the boy D'artagnan and the Three Musketeers quickly cooperate and defeat them. This is the beginning of their friendship and commitment to fight conspiracy. 
animeRelated	[]
animeCharacters	"[""D'Artagnan, Charles de Batz de Castelmore"", 'Pip']"
animeVoices	['Majima, Satomi']
animeStaff	"[['Koshi, Shigeo', 'Director'], [""D'Avena, Cristina"", 'Theme Song Performance'], ['Suginami Jidou Gasshoudan', 'Theme Song Performance'], ['Hattori, Katsuhisa', 'Music']]"
