animeTitle	Telepathist IQ Saiko
animeType	OVA
animeNumEpisode	1
releaseDate	1985-04-25 00:00:00
endDate	
animeNumMembers	724
animeScore	4.88
animeUsers	210
animeRank	
animePopularity	11971
animeDescription	"Earth can only be saved from alien invaders by the nubile bodies of young telepaths.

Part of Little Mermaid Series along with Shining May, Punky Funky Baby, and Suashi no Houkago.

(Source: AniDB)"
animeRelated	['Suashi no Houkago', 'Shining May', 'Punky Funky Baby']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
