animeTitle	b'G-Taste (2010)'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.19
animeUsers	1313
animeRank	
animePopularity	
animeDescription	b'This OVA features five of the most popular girls from G-Taste: Riona Kisaragi, Yuki Shihoudou, Nana Morimura, Asuka Senou and Mai Kannazuki.'
animeRelated	[b'G-taste', b'G-Taste']
animeCharacters	[b'Kannazuki, Mai', b'Morimura, Nana', b'Kisaragi, Riona', b'Senou, Asuka', b'Shihoudou, Yuki', b'Fubuki, Kyouka']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nNishijima, Katsuhiko\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nSakurai, Masaaki\n\nEpisode Director, Storyboard, Key Animation, Character Design, Animation Director\n\n', b'\nSakakibara, Yui\n\nTheme Song Composition, Theme Song Lyrics, Theme Song Performance\n\n']
