animeTitle	Hana no Kage
animeType	ONA
animeNumEpisode	1
releaseDate	2006-04-01 00:00:00
endDate	
animeNumMembers	1886
animeScore	5.94
animeUsers	497
animeRank	8887
animePopularity	9584
animeDescription	In ancient Japan, a princess and her lover run away from their pursuers. When it became apparent that they would be caught, they vowed to commit suicide rather than have the princess return to her former life. Both of them took their blades to end their lives but something went wrong. Now one of them seeks revenge for being abandoned.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
