animeTitle	Otome wa Boku ni Koishiteru Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	6123
animeRank	
animePopularity	5080
animeDescription	"Special DVD episode combining the storyline of Cinderella and Snow White (chibi style) with the ""Otome wa Boku ni Koishiteru"" cast."
animeRelated	['Otome wa Boku ni Koishiteru']
animeCharacters	['Miyanokouji, Mizuho', 'Itsukushima, Takako', 'Mikado, Mariya', 'Juujou, Shion', 'Suouin, Kana', 'Takanashi, Kei', 'Sugawara, Kimie', 'Kajiura, Hisako', 'Kamioka, Yukari']
animeVoices	['Horie, Yui', 'Takahashi, Chiaki']
animeStaff	[['Sakakibara, Yui', 'Theme Song Performance'], ['Aice⁵', 'Theme Song Performance'], ['Ishibashi, Yukiko', 'Key Animation'], ['Fukunaga, Tomoko', 'Animation Director']]
