animeTitle	Oushitsu Kyoushi Heine
animeType	TV
animeNumEpisode	12
releaseDate	2017-04-05 00:00:00
endDate	2017-06-21 00:00:00
animeNumMembers	119313
animeScore	7.47
animeUsers	51685
animeRank	1704
animePopularity	1413
animeDescription	"Equally charming and stern, Heine Wittgenstein is a brilliant man who commands respect, despite his short, childlike stature. Thus, the king of Grannzreich has called upon Heine to undertake a daunting task that has driven away many before him—become the new royal tutor to four princes who are in line for the throne.

The four heirs each have very distinct and troublesome personalities: Licht, the flirtatious youngest prince; his immature older brother Leonhard; Bruno the studious third prince; and Kai, the oldest of the four and the most reserved. Hilarity ensues as Heine attempts to connect with each of the princes in order to groom them for the throne. However, Heine's mysterious past and dark undercurrents in the present may threaten the harmony within the kingdom.

[Written by MAL Rewrite]"
animeRelated	['Oushitsu Kyoushi Heine', 'Oushitsu Kyoushi Heine Movie']
animeCharacters	['Wittgenstein, Heine', 'von Grannzreich, Kai', 'von Grannzreich, Leonhard', 'von Grannzreich, Licht', 'von Grannzreich, Bruno', 'von Grannzreich, Victor', 'von Grannzreich, Einz', 'von Granntzreich, Adele', 'Maximillian', 'Ludwig']
animeVoices	['Ueda, Keisuke', 'Asato, Yuuya', 'Hirose, Daisuke', 'Aoi, Shouta', 'Adachi, Yuuto', 'Morikawa, Toshiyuki', 'Ono, Daisuke', 'Tachibana, Shinnosuke', 'Namikawa, Daisuke']
animeStaff	[['Umetsu, Satoshi', 'Producer'], ['Kikuchi, Katsuya', 'Director, Storyboard'], ['Gouda, Hozumi', 'Sound Director'], ['Suzuki, Yuuji', 'Episode Director, Storyboard']]
